Method,label,run_id,host,timestamp,method,dataset,dtype,n_vectors,R,L_build,B,M,T,cache_nodes,beamwidth,L,QPS,mean_latency_us,p999_latency_us,mean_ios,mean_io_us,cpu_s,recall10,build_elapsed,build_rss_kb,search_elapsed,search_rss_kb,base_bytes,query_bytes,gt_bytes,index_total_bytes,index_disk_bytes,index_pq_bytes,index_pivots_bytes,work_dir,index_prefix,work_fs_used_bytes,work_fs_avail_bytes,build_log,search_log
diskann,bigann100M5,bigann100M_uint8_20260126_015519_51767,node,20260126_015423,DiskANN,bigann100M,uint8,100000000,100,100,50,80,24,500000,4,30,9350.96,2512.78,21028,36.64,1810.93,606.85,94.28,3:01:15,77165772,00:33.9,12890388,12800000008,1280008,400008,71327568920,58514292736,12800000008,136220,diskann_run_bigann100M5_bigann100M_uint8_20260126_015519_51767,bigann100M_R100_Lb100_B50_M80_uint8,1.89188E+11,1.40547E+12,build.log,search.log
diskann,bigann100M5,bigann100M_uint8_20260126_015519_51767,node,20260126_015423,DiskANN,bigann100M,uint8,100000000,100,100,50,80,24,500000,4,40,7782.98,3027.67,8044,46.01,2196.02,719.4,96,3:01:15,77165772,00:33.9,12890388,12800000008,1280008,400008,71327568920,58514292736,12800000008,136220,diskann_run_bigann100M5_bigann100M_uint8_20260126_015519_51767,bigann100M_R100_Lb100_B50_M80_uint8,1.89188E+11,1.40547E+12,build.log,search.log
diskann,bigann100M5,bigann100M_uint8_20260126_015519_51767,node,20260126_015423,DiskANN,bigann100M,uint8,100000000,100,100,50,80,24,500000,4,50,6499.38,3632.38,8498,55.47,2643.32,856.32,96.99,3:01:15,77165772,00:33.9,12890388,12800000008,1280008,400008,71327568920,58514292736,12800000008,136220,diskann_run_bigann100M5_bigann100M_uint8_20260126_015519_51767,bigann100M_R100_Lb100_B50_M80_uint8,1.89188E+11,1.40547E+12,build.log,search.log
diskann,bigann100M5,bigann100M_uint8_20260126_015519_51767,node,20260126_015423,DiskANN,bigann100M,uint8,100000000,100,100,50,80,24,500000,4,55,6110.47,3866.19,9349,60.26,2870.68,850.97,97.34,3:01:15,77165772,00:33.9,12890388,12800000008,1280008,400008,71327568920,58514292736,12800000008,136220,diskann_run_bigann100M5_bigann100M_uint8_20260126_015519_51767,bigann100M_R100_Lb100_B50_M80_uint8,1.89188E+11,1.40547E+12,build.log,search.log
diskann,bigann100M5,bigann100M_uint8_20260126_015519_51767,node,20260126_015423,DiskANN,bigann100M,uint8,100000000,100,100,50,80,24,500000,4,60,5705.95,4136.86,6458,65.11,3086.45,895.19,97.69,3:01:15,77165772,00:33.9,12890388,12800000008,1280008,400008,71327568920,58514292736,12800000008,136220,diskann_run_bigann100M5_bigann100M_uint8_20260126_015519_51767,bigann100M_R100_Lb100_B50_M80_uint8,1.89188E+11,1.40547E+12,build.log,search.log
diskann,bigann100M5,bigann100M_uint8_20260126_015519_51767,node,20260126_015423,DiskANN,bigann100M,uint8,100000000,100,100,50,80,24,500000,4,62,5550.92,4251.9,6778,67,3185.12,911.45,97.79,3:01:15,77165772,00:33.9,12890388,12800000008,1280008,400008,71327568920,58514292736,12800000008,136220,diskann_run_bigann100M5_bigann100M_uint8_20260126_015519_51767,bigann100M_R100_Lb100_B50_M80_uint8,1.89188E+11,1.40547E+12,build.log,search.log
diskann,bigann100M5,bigann100M_uint8_20260126_015519_51767,node,20260126_015423,DiskANN,bigann100M,uint8,100000000,100,100,50,80,24,500000,4,65,5339.44,4419.39,6657,69.91,3312.57,944.36,97.92,3:01:15,77165772,00:33.9,12890388,12800000008,1280008,400008,71327568920,58514292736,12800000008,136220,diskann_run_bigann100M5_bigann100M_uint8_20260126_015519_51767,bigann100M_R100_Lb100_B50_M80_uint8,1.89188E+11,1.40547E+12,build.log,search.log
diskann,bigann100M5,bigann100M_uint8_20260126_015519_51767,node,20260126_015423,DiskANN,bigann100M,uint8,100000000,100,100,50,80,24,500000,4,70,4995.75,4722.57,6690,74.73,3537,1011.56,98.15,3:01:15,77165772,00:33.9,12890388,12800000008,1280008,400008,71327568920,58514292736,12800000008,136220,diskann_run_bigann100M5_bigann100M_uint8_20260126_015519_51767,bigann100M_R100_Lb100_B50_M80_uint8,1.89188E+11,1.40547E+12,build.log,search.log
diskann,bigann100M5,bigann100M_uint8_20260126_015519_51767,node,20260126_015423,DiskANN,bigann100M,uint8,100000000,100,100,50,80,24,500000,4,80,4417.27,5343.75,7940,84.51,4005.13,1146.92,98.52,3:01:15,77165772,00:33.9,12890388,12800000008,1280008,400008,71327568920,58514292736,12800000008,136220,diskann_run_bigann100M5_bigann100M_uint8_20260126_015519_51767,bigann100M_R100_Lb100_B50_M80_uint8,1.89188E+11,1.40547E+12,build.log,search.log
diskann,bigann100M5,bigann100M_uint8_20260126_015519_51767,node,20260126_015423,DiskANN,bigann100M,uint8,100000000,100,100,50,80,24,500000,4,100,3613.5,6545.47,9056,104.05,4933.7,1381.31,98.97,3:01:15,77165772,00:33.9,12890388,12800000008,1280008,400008,71327568920,58514292736,12800000008,136220,diskann_run_bigann100M5_bigann100M_uint8_20260126_015519_51767,bigann100M_R100_Lb100_B50_M80_uint8,1.89188E+11,1.40547E+12,build.log,search.log
