Method,dataset,d,nb,nq,nlist,M,nbits,nprobe_requested,nprobe,topk,repeats,warmup_nq,train_time_s,add_time_s,build_time_s,search_time_median_s,qps,recall_at_k,ndis,ndis_per_query,scale,l2norm,rss_mb_before_search,rss_mb_after_search,peak_rss_mb_before_search,peak_rss_mb_after_search,peak_rss_mb_after_train,peak_rss_mb_after_add,index_bytes
IVFPQ,bigann100M,128,100000000,10000,49152,32,8,1,1,10,5,200,4199.291899,21450.40446,25649.69635,0.090612,110360.4478,0.24713,126937105,2538.7421,0.003921569,0,19367.863,19437.062,19586.781,19586.781,2703.238,19586.781,4025690292
IVFPQ,bigann100M,128,100000000,10000,49152,32,8,2,2,10,5,200,4199.291899,21450.40446,25649.69635,0.113327,88240.3903,0.3527,253728970,5074.5794,0.003921569,0,19437.09,19441.598,19586.781,19586.781,2703.238,19586.781,4025690292
IVFPQ,bigann100M,128,100000000,10000,49152,32,8,4,4,10,5,200,4199.291899,21450.40446,25649.69635,0.154452,64744.89827,0.4556,504711030,10094.2206,0.003921569,0,19441.598,19441.805,19586.781,19586.781,2703.238,19586.781,4025690292
IVFPQ,bigann100M,128,100000000,10000,49152,32,8,8,8,10,5,200,4199.291899,21450.40446,25649.69635,0.225759,44295.11036,0.54283,1003899825,20077.9965,0.003921569,0,19441.805,19442.234,19586.781,19586.781,2703.238,19586.781,4025690292
IVFPQ,bigann100M,128,100000000,10000,49152,32,8,16,16,10,5,200,4199.291899,21450.40446,25649.69635,0.372951,26813.18878,0.60672,1979779605,39595.5921,0.003921569,0,19442.254,19443.156,19586.781,19586.781,2703.238,19586.781,4025690292
IVFPQ,bigann100M,128,100000000,10000,49152,32,8,32,32,10,5,200,4199.291899,21450.40446,25649.69635,0.662421,15096.12917,0.64627,3883969075,77679.3815,0.003921569,0,19443.156,19444.863,19586.781,19586.781,2703.238,19586.781,4025690292
IVFPQ,bigann100M,128,100000000,10000,49152,32,8,64,64,10,5,200,4199.291899,21450.40446,25649.69635,1.224982,8163.388281,0.66814,7600614375,152012.2875,0.003921569,0,19444.863,19507.578,19586.781,19586.781,2703.238,19586.781,4025690292
IVFPQ,bigann100M,128,100000000,10000,49152,32,8,128,128,10,5,200,4199.291899,21450.40446,25649.69635,2.304788,4338.793189,0.67928,14796807710,295936.1542,0.003921569,0,19507.598,19558.57,19586.781,19586.781,2703.238,19586.781,4025690292
IVFPQ,bigann100M,128,100000000,10000,49152,32,8,256,256,10,5,200,4199.291899,21450.40446,25649.69635,4.384964,2280.520687,0.68362,28745959090,574919.1818,0.003921569,0,19558.57,19558.57,19586.781,19586.781,2703.238,19586.781,4025690292
IVFPQ,bigann100M,128,100000000,10000,49152,32,8,512,512,10,5,200,4199.291899,21450.40446,25649.69635,8.411179,1188.893928,0.68486,55710554210,1114211.084,0.003921569,0,19558.57,19650.57,19586.781,19650.57,2703.238,19586.781,4025690292
IVFPQ,bigann100M,128,100000000,10000,49152,32,8,1024,1024,10,5,200,4199.291899,21450.40446,25649.69635,16.214635,616.726789,0.68516,1.07892E+11,2157846.083,0.003921569,0,19650.57,19841.07,19650.57,19841.07,2703.238,19586.781,4025690292
