Method,case_id,Lsel,Rmax,centroid_heap_k,max_score,calib_heap_front_alpha,repeats,Q,D_logits,D_in,enum_ms_p50,refine_ms_p50,total_ms_p50,total_qps_p50,refined_vecs_p50,refined_vecs_mean,recall_p50
NeuRoute,14,16,6,5000,0.41,0.7,1,10000,20,128,558.655524,3147.756856,3752.034632,2665.220602,2559885680,2559885680,0.95904
NeuRoute,10,16,6,4500,0.41,0.7,1,10000,20,128,551.241671,2927.144684,3521.705187,2839.533541,2376847936,2376847936,0.95663
NeuRoute,22,15,6,5000,0.41,0.7,1,10000,20,128,475.958852,3005.535258,3524.194027,2837.528219,2461245207,2461245207,0.95281
NeuRoute,18,15,6,4500,0.41,0.7,1,10000,20,128,473.945035,2782.051696,3296.984769,3033.07437,2284919956,2284919956,0.95084
NeuRoute,14,16,6,5000,0.41,0.7,1,10000,20,128,444.007768,2572.70569,3057.879431,3270.240121,2080716968,2080716968,0.94951
NeuRoute,10,16,6,4500,0.41,0.7,1,10000,20,128,445.336556,2437.437288,2922.243477,3422.028342,1973054458,1973054458,0.94769
NeuRoute,10,16,6,4000,0.41,0.7,1,10000,20,128,440.362383,2307.346051,2785.717971,3589.738841,1853678715,1853678715,0.94528
NeuRoute,22,15,6,5000,0.41,0.7,1,10000,20,128,377.409801,2403.557537,2818.940956,3547.43152,1962672977,1962672977,0.94309
NeuRoute,8,16,6,3500,0.41,0.7,1,10000,20,128,436.077204,2146.033122,2619.159356,3818.018929,1722161488,1722161488,0.94217
NeuRoute,18,15,6,4500,0.41,0.7,1,10000,20,128,375.970193,2279.243123,2691.225748,3715.778956,1864276520,1864276520,0.94167
NeuRoute,16,15,6,4000,0.41,0.7,1,10000,20,128,374.954503,2142.502823,2553.216852,3916.62776,1753534481,1753534481,0.93958
NeuRoute,6,16,6,3000,0.41,0.7,1,10000,20,128,427.771465,1966.720724,2430.062128,4115.121126,1577752193,1577752193,0.93719
NeuRoute,15,16,6,5000,0.41,0.5,1,10000,20,128,385.260344,2694.006787,3121.455035,3203.634167,2216163501,2216163501,0.9365
NeuRoute,14,15,6,3500,0.41,0.7,1,10000,20,128,372.194412,2005.637958,2410.984614,4147.683043,1629119362,1629119362,0.93645
NeuRoute,11,16,6,4500,0.41,0.5,1,10000,20,128,387.628637,2528.099668,2955.759945,3383.224682,2085696989,2085696989,0.93512
NeuRoute,12,16,6,5000,0.29,0.7,1,10000,20,128,310.044199,2467.343266,2811.866272,3556.356893,2093606292,2093606292,0.93342
NeuRoute,8,16,6,4500,0.29,0.7,1,10000,20,128,309.386111,2341.348462,2684.656925,3724.87073,1967643567,1967643567,0.93261
NeuRoute,52,15,6,3000,0.41,0.7,1,10000,20,128,366.933004,1837.645632,2236.058617,4472.154676,1490618387,1490618387,0.93231
NeuRoute,52,15,6,3000,0.41,0.7,1,10000,20,128,366.933004,1837.645632,2236.058617,4472.154676,1490618387,1490618387,0.93231
NeuRoute,12,15,6,3000,0.41,0.7,1,10000,20,128,367.844342,1826.498025,2226.594628,4491.163265,1490618387,1490618387,0.93231
NeuRoute,6,16,5,5000,0.41,0.7,1,10000,20,128,384.5033,2845.145645,3269.091777,3058.953582,2360253616,2360253616,0.93074
NeuRoute,23,15,6,5000,0.41,0.5,1,10000,20,128,331.369922,2533.353298,2903.684677,3443.900117,2115682321,2115682321,0.93062
NeuRoute,19,15,6,4500,0.41,0.5,1,10000,20,128,333.51687,2390.069292,2760.910861,3621.993068,1990764635,1990764635,0.92959
NeuRoute,2,16,5,4500,0.41,0.7,1,10000,20,128,384.391158,2657.478896,3079.830651,3246.931774,2194307265,2194307265,0.92949
NeuRoute,20,15,6,5000,0.29,0.7,1,10000,20,128,281.354768,2405.990482,2721.368591,3674.621671,2048892539,2048892539,0.92847
NeuRoute,16,15,6,4500,0.29,0.7,1,10000,20,128,285.833581,2275.905065,2594.071689,3854.943579,1928479105,1928479105,0.92771
NeuRoute,12,16,6,5000,0.29,0.7,1,10000,20,128,261.911525,1942.672852,2235.293105,4473.686237,1631617614,1631617614,0.92504
NeuRoute,8,16,6,4500,0.29,0.7,1,10000,20,128,263.048744,1872.665874,2165.629312,4617.595423,1563380235,1563380235,0.92435
NeuRoute,106,14,6,3000,0.41,0.7,1,10000,20,128,302.978239,1696.440648,2027.185224,4932.948347,1396967784,1396967784,0.92234
NeuRoute,106,14,6,3000,0.41,0.7,1,10000,20,128,302.978239,1696.440648,2027.185224,4932.948347,1396967784,1396967784,0.92234
NeuRoute,6,16,5,5000,0.41,0.7,1,10000,20,128,300.793613,2192.639515,2527.43562,3956.579515,1821260641,1821260641,0.9211
NeuRoute,2,16,5,4500,0.41,0.7,1,10000,20,128,302.062349,2096.207083,2431.669161,4112.401539,1741228638,1741228638,0.92029
NeuRoute,20,15,6,5000,0.29,0.7,1,10000,20,128,239.972789,1875.004261,2146.852422,4657.982029,1581578672,1581578672,0.92019
NeuRoute,16,15,6,4500,0.29,0.7,1,10000,20,128,242.943686,1794.556178,2066.32534,4839.508961,1518562388,1518562388,0.91964
NeuRoute,4,16,5,4000,0.41,0.7,1,10000,20,128,301.253287,1995.421896,2328.79163,4294.072459,1646106143,1646106143,0.91905
NeuRoute,2,16,5,3500,0.41,0.7,1,10000,20,128,300.828148,1866.433935,2198.091828,4549.400472,1534587757,1534587757,0.91717
NeuRoute,46,15,6,2000,0.41,0.7,1,10000,20,128,338.569242,1450.310379,1816.309606,5505.66928,1168408512,1168408512,0.9168
NeuRoute,46,15,6,2000,0.41,0.7,1,10000,20,128,338.569242,1450.310379,1816.309606,5505.66928,1168408512,1168408512,0.9168
