Method,label,host,timestamp,dtype,n_vectors,R,L_build,B,M,T,cache_nodes,beamwidth,L,QPS,mean_latency_us,p999_latency_us,mean_ios,mean_io_us,cpu_s,recall10,build_elapsed,build_rss_kb,search_elapsed,search_rss_kb,base_bytes,query_bytes,gt_bytes,index_total_bytes,index_disk_bytes,index_pq_bytes,index_pivots_bytes,work_dir,index_prefix,work_fs_used_bytes,work_fs_avail_bytes
DiskANN,bigann1b_R48_Lb64_lowperf,node,20260218_230447,uint8,1000000000,48,64,50,80,24,100000,4,30,5342.25,4431.23,10839,48.32,3905.05,416.48,77.36,17:57:37,96017332,02:09.6,51918288,1.28E+11,1280008,8000008,3.94347E+11,3.41333E+11,53000000008,135920,diskann_run_bigann1b_R48_Lb64_lowperf_uint8_20260218_230447_42018,bigann1B_R48_Lb64_B50_M80_uint8,1.05758E+12,4.32888E+11
DiskANN,bigann1b_R48_Lb64_lowperf,node,20260218_230447,uint8,1000000000,48,64,50,80,24,100000,4,40,3931.38,6060.77,12298,57.49,5003.48,923.43,81.34,17:57:37,96017332,02:09.6,51918288,1.28E+11,1280008,8000008,3.94347E+11,3.41333E+11,53000000008,135920,diskann_run_bigann1b_R48_Lb64_lowperf_uint8_20260218_230447_42018,bigann1B_R48_Lb64_B50_M80_uint8,1.05758E+12,4.32888E+11
DiskANN,bigann1b_R48_Lb64_lowperf,node,20260218_230447,uint8,1000000000,48,64,50,80,24,100000,4,50,3280.96,7261.15,22622,66.74,5790.02,1316,84.19,17:57:37,96017332,02:09.6,51918288,1.28E+11,1280008,8000008,3.94347E+11,3.41333E+11,53000000008,135920,diskann_run_bigann1b_R48_Lb64_lowperf_uint8_20260218_230447_42018,bigann1B_R48_Lb64_B50_M80_uint8,1.05758E+12,4.32888E+11
DiskANN,bigann1b_R48_Lb64_lowperf,node,20260218_230447,uint8,1000000000,48,64,50,80,24,100000,4,55,2748.45,8670.84,26911,71.41,6315.95,2182.19,85.32,17:57:37,96017332,02:09.6,51918288,1.28E+11,1280008,8000008,3.94347E+11,3.41333E+11,53000000008,135920,diskann_run_bigann1b_R48_Lb64_lowperf_uint8_20260218_230447_42018,bigann1B_R48_Lb64_B50_M80_uint8,1.05758E+12,4.32888E+11
DiskANN,bigann1b_R48_Lb64_lowperf,node,20260218_230447,uint8,1000000000,48,64,50,80,24,100000,4,60,2435.12,9789.94,37377,76.12,6646.14,2957.72,86.35,17:57:37,96017332,02:09.6,51918288,1.28E+11,1280008,8000008,3.94347E+11,3.41333E+11,53000000008,135920,diskann_run_bigann1b_R48_Lb64_lowperf_uint8_20260218_230447_42018,bigann1B_R48_Lb64_B50_M80_uint8,1.05758E+12,4.32888E+11
DiskANN,bigann1b_R48_Lb64_lowperf,node,20260218_230447,uint8,1000000000,48,64,50,80,24,100000,4,62,2216.59,10760.06,28355,78.01,6195.68,4362.62,86.73,17:57:37,96017332,02:09.6,51918288,1.28E+11,1280008,8000008,3.94347E+11,3.41333E+11,53000000008,135920,diskann_run_bigann1b_R48_Lb64_lowperf_uint8_20260218_230447_42018,bigann1B_R48_Lb64_B50_M80_uint8,1.05758E+12,4.32888E+11
DiskANN,bigann1b_R48_Lb64_lowperf,node,20260218_230447,uint8,1000000000,48,64,50,80,24,100000,4,65,3134.43,7608.01,15259,80.87,6834.57,598.19,87.25,17:57:37,96017332,02:09.6,51918288,1.28E+11,1280008,8000008,3.94347E+11,3.41333E+11,53000000008,135920,diskann_run_bigann1b_R48_Lb64_lowperf_uint8_20260218_230447_42018,bigann1B_R48_Lb64_B50_M80_uint8,1.05758E+12,4.32888E+11
DiskANN,bigann1b_R48_Lb64_lowperf,node,20260218_230447,uint8,1000000000,48,64,50,80,24,100000,4,70,3252.71,7331.23,15934,85.58,6491.9,662.71,88.01,17:57:37,96017332,02:09.6,51918288,1.28E+11,1280008,8000008,3.94347E+11,3.41333E+11,53000000008,135920,diskann_run_bigann1b_R48_Lb64_lowperf_uint8_20260218_230447_42018,bigann1B_R48_Lb64_B50_M80_uint8,1.05758E+12,4.32888E+11
DiskANN,bigann1b_R48_Lb64_lowperf,node,20260218_230447,uint8,1000000000,48,64,50,80,24,100000,4,80,2975.25,8015.58,21104,95.19,7103.08,717.69,89.39,17:57:37,96017332,02:09.6,51918288,1.28E+11,1280008,8000008,3.94347E+11,3.41333E+11,53000000008,135920,diskann_run_bigann1b_R48_Lb64_lowperf_uint8_20260218_230447_42018,bigann1B_R48_Lb64_B50_M80_uint8,1.05758E+12,4.32888E+11
DiskANN,bigann1b_R48_Lb64_lowperf,node,20260218_230447,uint8,1000000000,48,64,50,80,24,100000,4,90,2744.37,8686.83,18157,104.71,7726.23,748.5,90.43,17:57:37,96017332,02:09.6,51918288,1.28E+11,1280008,8000008,3.94347E+11,3.41333E+11,53000000008,135920,diskann_run_bigann1b_R48_Lb64_lowperf_uint8_20260218_230447_42018,bigann1B_R48_Lb64_B50_M80_uint8,1.05758E+12,4.32888E+11
