Method,dataset,d,nb,nq,nlist,M,nbits,nprobe_requested,nprobe,topk,repeats,warmup_nq,train_time_s,add_time_s,build_time_s,search_time_median_s,qps,recall_at_k,ndis,ndis_per_query,scale,l2norm,rss_mb_before_search,rss_mb_after_search,peak_rss_mb_before_search,peak_rss_mb_after_search,peak_rss_mb_after_train,peak_rss_mb_after_add,index_bytes
ivfpq,bigann1B,128,1000000000,10000,49152,32,8,1,1,10,5,200,2258.997723,113230.9589,115489.9566,0.229706,43533.8541,0.28159,1268815325,25376.3065,0.003921569,0,80100.891,80198.961,82671.578,82671.578,2710.449,82671.578,40025690292
ivfpq,bigann1B,128,1000000000,10000,49152,32,8,2,2,10,5,200,2258.997723,113230.9589,115489.9566,0.399882,25007.3872,0.38522,2535316340,50706.3268,0.003921569,0,80198.961,80203.809,82671.578,82671.578,2710.449,82671.578,40025690292
ivfpq,bigann1B,128,1000000000,10000,49152,32,8,4,4,10,5,200,2258.997723,113230.9589,115489.9566,0.721488,13860.24898,0.47669,5042858785,100857.1757,0.003921569,0,80203.809,80204.062,82671.578,82671.578,2710.449,82671.578,40025690292
ivfpq,bigann1B,128,1000000000,10000,49152,32,8,8,8,10,5,200,2258.997723,113230.9589,115489.9566,1.354722,7381.586828,0.5469,10028963215,200579.2643,0.003921569,0,80204.062,80208.301,82671.578,82671.578,2710.449,82671.578,40025690292
ivfpq,bigann1B,128,1000000000,10000,49152,32,8,16,16,10,5,200,2258.997723,113230.9589,115489.9566,2.575471,3882.785409,0.59183,19783885475,395677.7095,0.003921569,0,80208.301,80215.875,82671.578,82671.578,2710.449,82671.578,40025690292
ivfpq,bigann1B,128,1000000000,10000,49152,32,8,32,32,10,5,200,2258.997723,113230.9589,115489.9566,4.960624,2015.875624,0.61776,38802197430,776043.9486,0.003921569,0,80215.875,80224.215,82671.578,82671.578,2710.449,82671.578,40025690292
ivfpq,bigann1B,128,1000000000,10000,49152,32,8,64,64,10,5,200,2258.997723,113230.9589,115489.9566,9.601783,1041.473257,0.63078,75926284670,1518525.693,0.003921569,0,80224.215,80303.984,82671.578,82671.578,2710.449,82671.578,40025690292
ivfpq,bigann1B,128,1000000000,10000,49152,32,8,128,128,10,5,200,2258.997723,113230.9589,115489.9566,18.654436,536.065527,0.63652,1.47788E+11,2955750.299,0.003921569,0,80303.984,80381.895,82671.578,82671.578,2710.449,82671.578,40025690292
ivfpq,bigann1B,128,1000000000,10000,49152,32,8,256,256,10,5,200,2258.997723,113230.9589,115489.9566,35.90927,278.479625,0.63833,2.87091E+11,5741819.894,0.003921569,0,80381.895,80447.965,82671.578,82671.578,2710.449,82671.578,40025690292
ivfpq,bigann1B,128,1000000000,10000,49152,32,8,512,512,10,5,200,2258.997723,113230.9589,115489.9566,69.547529,143.78656,0.63883,5.5638E+11,11127591.97,0.003921569,0,80447.965,80670.641,82671.578,82671.578,2710.449,82671.578,40025690292
ivfpq,bigann1B,128,1000000000,10000,49152,32,8,1024,1024,10,5,200,2258.997723,113230.9589,115489.9566,134.198789,74.516321,0.63895,1.0777E+12,21554063.38,0.003921569,0,80673.258,81096.688,82671.578,82671.578,2710.449,82671.578,40025690292
