Method,case_id,Lsel,Rmax,centroid_heap_k,max_score,calib_heap_front_alpha,repeats,Q,D_logits,D_in,enum_ms_p50,refine_ms_p50,total_ms_p50,total_qps_p50,refined_vecs_p50,refined_vecs_mean,recall_p50,train_time_s,add_time_s,build_time_s
NeuRoute,6,16,7,5000,0.36,0.7,1,10000,22,128,1422.002901,4394.602073,5859.604941,1706.599694,2994527359,2994527359,0.93042,1183.46,949.79,2133.25
NeuRoute,14,16,6,5000,0.36,0.7,1,10000,22,128,1184.678575,4275.467682,5500.738656,1817.937667,2916640505,2916640505,0.92604,1183.46,949.79,2133.25
NeuRoute,7,16,7,5000,0.36,0.5,1,10000,22,128,1056.761728,4379.102903,5479.054195,1825.132522,3012980022,3012980022,0.92124,1183.46,949.79,2133.25
NeuRoute,15,16,6,5000,0.36,0.5,1,10000,22,128,897.513595,4274.833889,5212.730101,1918.380543,2934142264,2934142264,0.91735,1183.46,949.79,2133.25
NeuRoute,4,16,7,3000,0.36,0.7,1,10000,22,128,1162.523569,2946.123791,4142.983624,2413.719413,2008308932,2008308932,0.9026,1183.46,949.79,2133.25
NeuRoute,12,16,6,3000,0.36,0.7,1,10000,22,128,989.62184,2832.6262,3853.761696,2594.867246,1935905708,1935905708,0.89965,1183.46,949.79,2133.25
NeuRoute,5,16,7,3000,0.36,0.5,1,10000,22,128,878.416461,2932.688433,3845.420098,2600.496108,2019269418,2019269418,0.89106,1183.46,949.79,2133.25
NeuRoute,13,16,6,3000,0.36,0.5,1,10000,22,128,745.750471,2815.632972,3592.638293,2783.469747,1946539324,1946539324,0.88828,1183.46,949.79,2133.25
NeuRoute,2,16,7,2000,0.36,0.7,1,10000,22,128,930.009088,2141.94237,3101.246704,3224.509674,1464329972,1464329972,0.87318,1183.46,949.79,2133.25
NeuRoute,10,16,6,2000,0.36,0.7,1,10000,22,128,810.586867,2033.950235,2871.317275,3482.722055,1392772392,1392772392,0.87095,1183.46,949.79,2133.25
