Method,label,run_id,host,timestamp,method,dataset,dtype,n_vectors,R,L_build,B,M,T,cache_nodes,beamwidth,L,QPS,mean_latency_us,p999_latency_us,mean_ios,mean_io_us,cpu_s,recall10,build_elapsed,build_rss_kb,search_elapsed,search_rss_kb,base_bytes,query_bytes,gt_bytes,index_total_bytes,index_disk_bytes,index_pq_bytes,index_pivots_bytes,work_dir,index_prefix,work_fs_used_bytes,work_fs_avail_bytes,build_log,search_log
diskann,deep1b100M5,deep1b100M_float_20260126_045709_51767,node,20260126_015423,DiskANN,deep1b100M,float,100000000,100,100,50,110,24,200000,4,30,8972.77,2621.77,14222,40.04,2006.34,522.16,92.42,3:58:43,102198028,00:24.3,9633976,38400000008,73,4000008,91558773068,81920004096,9600000008,103196,diskann_run_deep1b100M5_deep1b100M_float_20260126_045709_51767,deep1b100M_R100_Lb100_B50_M110_float,2.80748E+11,1.31391E+12,build.log,search.log
diskann,deep1b100M5,deep1b100M_float_20260126_045709_51767,node,20260126_015423,DiskANN,deep1b100M,float,100000000,100,100,50,110,24,200000,4,40,7596.45,3106.06,8580,49.43,2373.41,622.13,94.33,3:58:43,102198028,00:24.3,9633976,38400000008,73,4000008,91558773068,81920004096,9600000008,103196,diskann_run_deep1b100M5_deep1b100M_float_20260126_045709_51767,deep1b100M_R100_Lb100_B50_M110_float,2.80748E+11,1.31391E+12,build.log,search.log
diskann,deep1b100M5,deep1b100M_float_20260126_045709_51767,node,20260126_015423,DiskANN,deep1b100M,float,100000000,100,100,50,110,24,200000,4,50,6334.46,3729.57,9313,58.9,2827.68,771.14,95.56,3:58:43,102198028,00:24.3,9633976,38400000008,73,4000008,91558773068,81920004096,9600000008,103196,diskann_run_deep1b100M5_deep1b100M_float_20260126_045709_51767,deep1b100M_R100_Lb100_B50_M110_float,2.80748E+11,1.31391E+12,build.log,search.log
diskann,deep1b100M5,deep1b100M_float_20260126_045709_51767,node,20260126_015423,DiskANN,deep1b100M,float,100000000,100,100,50,110,24,200000,4,53,6201.74,3806.02,9312,61.77,2955.93,711.51,95.83,3:58:43,102198028,00:24.3,9633976,38400000008,73,4000008,91558773068,81920004096,9600000008,103196,diskann_run_deep1b100M5_deep1b100M_float_20260126_045709_51767,deep1b100M_R100_Lb100_B50_M110_float,2.80748E+11,1.31391E+12,build.log,search.log
diskann,deep1b100M5,deep1b100M_float_20260126_045709_51767,node,20260126_015423,DiskANN,deep1b100M,float,100000000,100,100,50,110,24,200000,4,56,5959.04,3959.77,6840,64.7,3102.15,712.96,96.11,3:58:43,102198028,00:24.3,9633976,38400000008,73,4000008,91558773068,81920004096,9600000008,103196,diskann_run_deep1b100M5_deep1b100M_float_20260126_045709_51767,deep1b100M_R100_Lb100_B50_M110_float,2.80748E+11,1.31391E+12,build.log,search.log
diskann,deep1b100M5,deep1b100M_float_20260126_045709_51767,node,20260126_015423,DiskANN,deep1b100M,float,100000000,100,100,50,110,24,200000,4,58,5774.24,4084.19,6958,66.57,3204.52,730.38,96.26,3:58:43,102198028,00:24.3,9633976,38400000008,73,4000008,91558773068,81920004096,9600000008,103196,diskann_run_deep1b100M5_deep1b100M_float_20260126_045709_51767,deep1b100M_R100_Lb100_B50_M110_float,2.80748E+11,1.31391E+12,build.log,search.log
diskann,deep1b100M5,deep1b100M_float_20260126_045709_51767,node,20260126_015423,DiskANN,deep1b100M,float,100000000,100,100,50,110,24,200000,4,60,5642.24,4179.96,7126,68.54,3271.56,754.75,96.43,3:58:43,102198028,00:24.3,9633976,38400000008,73,4000008,91558773068,81920004096,9600000008,103196,diskann_run_deep1b100M5_deep1b100M_float_20260126_045709_51767,deep1b100M_R100_Lb100_B50_M110_float,2.80748E+11,1.31391E+12,build.log,search.log
diskann,deep1b100M5,deep1b100M_float_20260126_045709_51767,node,20260126_015423,DiskANN,deep1b100M,float,100000000,100,100,50,110,24,200000,4,70,4931.29,4786.32,7672,78.19,3761.51,854.38,97.04,3:58:43,102198028,00:24.3,9633976,38400000008,73,4000008,91558773068,81920004096,9600000008,103196,diskann_run_deep1b100M5_deep1b100M_float_20260126_045709_51767,deep1b100M_R100_Lb100_B50_M110_float,2.80748E+11,1.31391E+12,build.log,search.log
diskann,deep1b100M5,deep1b100M_float_20260126_045709_51767,node,20260126_015423,DiskANN,deep1b100M,float,100000000,100,100,50,110,24,200000,4,80,4400.35,5367.45,8292,87.95,4219.39,960.86,97.51,3:58:43,102198028,00:24.3,9633976,38400000008,73,4000008,91558773068,81920004096,9600000008,103196,diskann_run_deep1b100M5_deep1b100M_float_20260126_045709_51767,deep1b100M_R100_Lb100_B50_M110_float,2.80748E+11,1.31391E+12,build.log,search.log
diskann,deep1b100M5,deep1b100M_float_20260126_045709_51767,node,20260126_015423,DiskANN,deep1b100M,float,100000000,100,100,50,110,24,200000,4,100,3616.77,6541.03,9066,107.53,5160.15,1153.27,98.13,3:58:43,102198028,00:24.3,9633976,38400000008,73,4000008,91558773068,81920004096,9600000008,103196,diskann_run_deep1b100M5_deep1b100M_float_20260126_045709_51767,deep1b100M_R100_Lb100_B50_M110_float,2.80748E+11,1.31391E+12,build.log,search.log
