Method,dataset,d,nb,nq,nlist,nprobe_requested,nprobe,topk,repeats,warmup_nq,train_time_s,add_time_s,build_time_s,search_time_median_s,qps,recall_at_k,ndis,ndis_per_query,scale,l2norm,rss_mb_before_search,rss_mb_after_search,peak_rss_mb_before_search,peak_rss_mb_after_search,peak_rss_mb_after_train,peak_rss_mb_after_add,base_ftype,query_ftype,base_dtype,query_dtype,index_bytes
IVF-Flat,deep1b100M,96,100000000,10000,49152,1,1,10,5,200,2250.33505,11018.97093,13269.30598,0.152776,65455.40803,0.30769,136264780,2725.2956,1,0,88444.891,88554.984,88444.891,88554.984,37486.918,88444.238,bin,bin,float32,float32,39219267723
IVF-Flat,deep1b100M,96,100000000,10000,49152,2,2,10,5,200,2250.33505,11018.97093,13269.30598,0.254144,39347.70474,0.44199,271616460,5432.3292,1,0,88554.984,88554.984,88554.984,88554.984,37486.918,88444.238,bin,bin,float32,float32,39219267723
IVF-Flat,deep1b100M,96,100000000,10000,49152,4,4,10,5,200,2250.33505,11018.97093,13269.30598,0.459847,21746.35345,0.58396,539520015,10790.4003,1,0,88554.984,88554.984,88554.984,88554.984,37486.918,88444.238,bin,bin,float32,float32,39219267723
IVF-Flat,deep1b100M,96,100000000,10000,49152,8,8,10,5,200,2250.33505,11018.97093,13269.30598,0.871279,11477.37351,0.71574,1070069445,21401.3889,1,0,88554.984,88554.984,88554.984,88554.984,37486.918,88444.238,bin,bin,float32,float32,39219267723
IVF-Flat,deep1b100M,96,100000000,10000,49152,16,16,10,5,200,2250.33505,11018.97093,13269.30598,1.708487,5853.131924,0.82329,2112956345,42259.1269,1,0,88554.984,88555.242,88554.984,88555.242,37486.918,88444.238,bin,bin,float32,float32,39219267723
IVF-Flat,deep1b100M,96,100000000,10000,49152,32,32,10,5,200,2250.33505,11018.97093,13269.30598,3.247708,3079.094923,0.90173,4147317065,82946.3413,1,0,88555.242,88555.242,88555.242,88555.242,37486.918,88444.238,bin,bin,float32,float32,39219267723
IVF-Flat,deep1b100M,96,100000000,10000,49152,64,64,10,5,200,2250.33505,11018.97093,13269.30598,6.256814,1598.257637,0.9525,8095384485,161907.6897,1,0,88555.242,88555.242,88555.242,88555.242,37486.918,88444.238,bin,bin,float32,float32,39219267723
IVF-Flat,deep1b100M,96,100000000,10000,49152,128,128,10,5,200,2250.33505,11018.97093,13269.30598,12.000603,833.29148,0.97894,15725751685,314515.0337,1,0,88555.469,88555.469,88555.469,88555.469,37486.918,88444.238,bin,bin,float32,float32,39219267723
IVF-Flat,deep1b100M,96,100000000,10000,49152,256,256,10,5,200,2250.33505,11018.97093,13269.30598,22.972585,435.301465,0.99218,30396035085,607920.7017,1,0,88555.469,88584.727,88555.469,88584.727,37486.918,88444.238,bin,bin,float32,float32,39219267723
IVF-Flat,deep1b100M,96,100000000,10000,49152,512,512,10,5,200,2250.33505,11018.97093,13269.30598,43.637715,229.159568,0.99774,58346307905,1166926.158,1,0,88584.727,88703.832,88584.727,88717.477,37486.918,88444.238,bin,bin,float32,float32,39219267723
IVF-Flat,deep1b100M,96,100000000,10000,49152,1024,1024,10,5,200,2250.33505,11018.97093,13269.30598,83.199341,120.19326,0.99944,1.11218E+11,2224367.07,1,0,88703.832,88893.66,88717.477,88920.164,37486.918,88444.238,bin,bin,float32,float32,39219267723
