Method,dataset,d,nb,nq,nlist,M,nbits,nprobe_requested,nprobe,topk,repeats,warmup_nq,train_time_s,add_time_s,build_time_s,search_time_median_s,qps,recall_at_k,ndis,ndis_per_query,scale,l2norm,rss_mb_before_search,rss_mb_after_search,peak_rss_mb_before_search,peak_rss_mb_after_search,peak_rss_mb_after_train,peak_rss_mb_after_add,index_bytes
ivfpq,deep1b100M,96,100000000,10000,49152,24,8,1,1,10,5,200,3663.852681,18771.7804,22435.63308,0.092112,108563.4121,0.26663,136261610,2725.2322,1,0,11310.977,11372.082,29715.785,29715.785,2048.504,29715.785,3219366068
ivfpq,deep1b100M,96,100000000,10000,49152,24,8,2,2,10,5,200,3663.852681,18771.7804,22435.63308,0.10002,99979.83386,0.36499,271510385,5430.2077,1,0,11372.082,11376.625,29715.785,29715.785,2048.504,29715.785,3219366068
ivfpq,deep1b100M,96,100000000,10000,49152,24,8,4,4,10,5,200,3663.852681,18771.7804,22435.63308,0.14905,67091.79585,0.45546,539541675,10790.8335,1,0,11376.625,11376.832,29715.785,29715.785,2048.504,29715.785,3219366068
ivfpq,deep1b100M,96,100000000,10000,49152,24,8,8,8,10,5,200,3663.852681,18771.7804,22435.63308,0.216529,46183.16232,0.52344,1069914080,21398.2816,1,0,11376.832,11377.281,29715.785,29715.785,2048.504,29715.785,3219366068
ivfpq,deep1b100M,96,100000000,10000,49152,24,8,16,16,10,5,200,3663.852681,18771.7804,22435.63308,0.386447,25876.74088,0.57127,2112631560,42252.6312,1,0,11377.281,11378.184,29715.785,29715.785,2048.504,29715.785,3219366068
ivfpq,deep1b100M,96,100000000,10000,49152,24,8,32,32,10,5,200,3663.852681,18771.7804,22435.63308,0.672096,14878.8318,0.60004,4147481860,82949.6372,1,0,11378.184,11381.719,29715.785,29715.785,2048.504,29715.785,3219366068
ivfpq,deep1b100M,96,100000000,10000,49152,24,8,64,64,10,5,200,3663.852681,18771.7804,22435.63308,1.419066,7046.890008,0.61556,8094995015,161899.9003,1,0,11381.719,11444.434,29715.785,29715.785,2048.504,29715.785,3219366068
ivfpq,deep1b100M,96,100000000,10000,49152,24,8,128,128,10,5,200,3663.852681,18771.7804,22435.63308,2.38515,4192.608509,0.622,15726141295,314522.8259,1,0,11444.453,11498.516,29715.785,29715.785,2048.504,29715.785,3219366068
ivfpq,deep1b100M,96,100000000,10000,49152,24,8,256,256,10,5,200,3663.852681,18771.7804,22435.63308,4.499016,2222.708231,0.62504,30396450645,607929.0129,1,0,11498.516,11502.082,29715.785,29715.785,2048.504,29715.785,3219366068
ivfpq,deep1b100M,96,100000000,10000,49152,24,8,512,512,10,5,200,3663.852681,18771.7804,22435.63308,8.603742,1162.284952,0.62599,58345219320,1166904.386,1,0,11502.082,11602.141,29715.785,29715.785,2048.504,29715.785,3219366068
ivfpq,deep1b100M,96,100000000,10000,49152,24,8,1024,1024,10,5,200,3663.852681,18771.7804,22435.63308,16.369829,610.879924,0.62622,1.11218E+11,2224350.837,1,0,11602.141,11810.82,29715.785,29715.785,2048.504,29715.785,3219366068
