Method,case_id,Lsel,Rmax,centroid_heap_k,max_score,calib_heap_front_alpha,repeats,Q,D_logits,D_in,enum_ms_p50,refine_ms_p50,total_ms_p50,total_qps_p50,refined_vecs_p50,refined_vecs_mean,recall_p50,dataset
NeuRoute,0,14,5,500,0.25,0.5,1,10000,20,96,85.14157,1135.408941,1237.908013,8078.144656,359072015,359072015,0.70858,deep1b100M
NeuRoute,1,14,5,500,0.25,0.6,1,10000,20,96,90.455494,1114.900282,1223.92174,8170.457042,358223654,358223654,0.72395,deep1b100M
NeuRoute,2,14,5,500,0.25,0.7,1,10000,20,96,93.236202,1133.082897,1244.736636,8033.827969,357882349,357882349,0.73041,deep1b100M
NeuRoute,3,14,5,500,0.3,0.5,1,10000,20,96,98.251104,1240.491903,1358.952132,7358.610921,390366540,390366540,0.72393,deep1b100M
NeuRoute,4,14,5,500,0.3,0.6,1,10000,20,96,104.739055,1222.917332,1347.879559,7419.060504,389526788,389526788,0.73826,deep1b100M
NeuRoute,5,14,5,500,0.3,0.7,1,10000,20,96,107.929676,1220.968166,1349.23106,7411.628961,389190080,389190080,0.74356,deep1b100M
NeuRoute,6,14,5,500,0.39,0.5,1,10000,20,96,116.68442,1363.151449,1500.549193,6664.226702,425625280,425625280,0.73989,deep1b100M
NeuRoute,7,14,5,500,0.39,0.6,1,10000,20,96,123.796615,1361.6897,1506.751998,6636.792261,424799216,424799216,0.75101,deep1b100M
NeuRoute,8,14,5,500,0.39,0.7,1,10000,20,96,126.66532,1380.679413,1528.434846,6542.64068,424538870,424538870,0.75418,deep1b100M
NeuRoute,9,14,5,1000,0.25,0.5,1,10000,20,96,132.881401,1969.803566,2123.538934,4709.120158,626090859,626090859,0.79837,deep1b100M
NeuRoute,10,14,5,1000,0.25,0.6,1,10000,20,96,148.173019,1963.496755,2132.364372,4689.630033,623843308,623843308,0.81257,deep1b100M
NeuRoute,11,14,5,1000,0.25,0.7,1,10000,20,96,155.460824,1933.00938,2109.289628,4740.932619,622846280,622846280,0.81774,deep1b100M
NeuRoute,12,14,5,1000,0.3,0.5,1,10000,20,96,151.793688,2097.33225,2270.648302,4404.028572,658304532,658304532,0.80827,deep1b100M
NeuRoute,13,14,5,1000,0.3,0.6,1,10000,20,96,167.499434,2044.115559,2234.035809,4476.203989,656145553,656145553,0.81984,deep1b100M
NeuRoute,14,14,5,1000,0.3,0.7,1,10000,20,96,175.929989,2038.800604,2236.271603,4471.728741,655081770,655081770,0.82424,deep1b100M
NeuRoute,15,14,5,1000,0.39,0.5,1,10000,20,96,172.668074,2170.147578,2366.688369,4225.313367,693529692,693529692,0.81618,deep1b100M
NeuRoute,16,14,5,1000,0.39,0.6,1,10000,20,96,188.774885,2212.340036,2424.715666,4124.194907,691368342,691368342,0.82576,deep1b100M
