method,label,run_id,host,timestamp,dataset,dtype,n_vectors,R,L_build,B,M,T,cache_nodes,beamwidth,L,QPS,mean_latency_us,p999_latency_us,mean_ios,mean_io_us,cpu_s,recall10,build_elapsed,build_rss_kb,search_elapsed,search_rss_kb,base_bytes,query_bytes,gt_bytes,index_total_bytes,index_disk_bytes,index_pq_bytes,index_pivots_bytes,work_dir,index_prefix,work_fs_used_bytes,work_fs_avail_bytes,build_log,search_log
DiskANN,deep1b_t2_node_T24_R90B20_M300_nvme,20260119_194723_1108_nvme,node,20260128_023817,DEEP1B-1B,float,1000000000,90,100,20,300,24,200000,4,30,6134.52,3823.01,7775,48.82,3126.53,574.79,56.53,36:27:55,415295976,00:44.7,20764720,3.84E+11,3840008,4000008,8.40239E+11,8.192E+11,21000000008,102896,diskann_run_deep1b_t2_node_T24_R90B20_M300_20260119_194723_1108,deep1b1B_R90_Lb100_B20_M300_float,9.31779E+11,5.58691E+11,build.log,search_L30_100_nvme.log
DiskANN,deep1b_t2_node_T24_R90B20_M300_nvme,20260119_194723_1108_nvme,node,20260128_023817,DEEP1B-1B,float,1000000000,90,100,20,300,24,200000,4,40,4891.12,4846.02,10087,58.2,4103.65,605.14,61.35,36:27:55,415295976,00:44.7,20764720,3.84E+11,3840008,4000008,8.40239E+11,8.192E+11,21000000008,102896,diskann_run_deep1b_t2_node_T24_R90B20_M300_20260119_194723_1108,deep1b1B_R90_Lb100_B20_M300_float,9.31779E+11,5.58691E+11,build.log,search_L30_100_nvme.log
DiskANN,deep1b_t2_node_T24_R90B20_M300_nvme,20260119_194723_1108_nvme,node,20260128_023817,DEEP1B-1B,float,1000000000,90,100,20,300,24,200000,4,50,3977.63,5965.29,12775,67.49,4999.17,810.79,65.07,36:27:55,415295976,00:44.7,20764720,3.84E+11,3840008,4000008,8.40239E+11,8.192E+11,21000000008,102896,diskann_run_deep1b_t2_node_T24_R90B20_M300_20260119_194723_1108,deep1b1B_R90_Lb100_B20_M300_float,9.31779E+11,5.58691E+11,build.log,search_L30_100_nvme.log
DiskANN,deep1b_t2_node_T24_R90B20_M300_nvme,20260119_194723_1108_nvme,node,20260128_023817,DEEP1B-1B,float,1000000000,90,100,20,300,24,200000,4,53,3973.64,5968.1,11781,70.41,5067.78,740.02,66.09,36:27:55,415295976,00:44.7,20764720,3.84E+11,3840008,4000008,8.40239E+11,8.192E+11,21000000008,102896,diskann_run_deep1b_t2_node_T24_R90B20_M300_20260119_194723_1108,deep1b1B_R90_Lb100_B20_M300_float,9.31779E+11,5.58691E+11,build.log,search_L30_100_nvme.log
DiskANN,deep1b_t2_node_T24_R90B20_M300_nvme,20260119_194723_1108_nvme,node,20260128_023817,DEEP1B-1B,float,1000000000,90,100,20,300,24,200000,4,56,3955.43,5994.62,11724,73.26,5205.56,626.01,66.98,36:27:55,415295976,00:44.7,20764720,3.84E+11,3840008,4000008,8.40239E+11,8.192E+11,21000000008,102896,diskann_run_deep1b_t2_node_T24_R90B20_M300_20260119_194723_1108,deep1b1B_R90_Lb100_B20_M300_float,9.31779E+11,5.58691E+11,build.log,search_L30_100_nvme.log
DiskANN,deep1b_t2_node_T24_R90B20_M300_nvme,20260119_194723_1108_nvme,node,20260128_023817,DEEP1B-1B,float,1000000000,90,100,20,300,24,200000,4,58,3867.94,6132.12,14435,75.11,5325.75,644.6,67.51,36:27:55,415295976,00:44.7,20764720,3.84E+11,3840008,4000008,8.40239E+11,8.192E+11,21000000008,102896,diskann_run_deep1b_t2_node_T24_R90B20_M300_20260119_194723_1108,deep1b1B_R90_Lb100_B20_M300_float,9.31779E+11,5.58691E+11,build.log,search_L30_100_nvme.log
DiskANN,deep1b_t2_node_T24_R90B20_M300_nvme,20260119_194723_1108_nvme,node,20260128_023817,DEEP1B-1B,float,1000000000,90,100,20,300,24,200000,4,60,3801.09,6238.3,11899,77.04,5421.2,650.7,68.03,36:27:55,415295976,00:44.7,20764720,3.84E+11,3840008,4000008,8.40239E+11,8.192E+11,21000000008,102896,diskann_run_deep1b_t2_node_T24_R90B20_M300_20260119_194723_1108,deep1b1B_R90_Lb100_B20_M300_float,9.31779E+11,5.58691E+11,build.log,search_L30_100_nvme.log
DiskANN,deep1b_t2_node_T24_R90B20_M300_nvme,20260119_194723_1108_nvme,node,20260128_023817,DEEP1B-1B,float,1000000000,90,100,20,300,24,200000,4,70,3290.68,7213.34,16136,86.52,6276.43,750.53,70.47,36:27:55,415295976,00:44.7,20764720,3.84E+11,3840008,4000008,8.40239E+11,8.192E+11,21000000008,102896,diskann_run_deep1b_t2_node_T24_R90B20_M300_20260119_194723_1108,deep1b1B_R90_Lb100_B20_M300_float,9.31779E+11,5.58691E+11,build.log,search_L30_100_nvme.log
DiskANN,deep1b_t2_node_T24_R90B20_M300_nvme,20260119_194723_1108_nvme,node,20260128_023817,DEEP1B-1B,float,1000000000,90,100,20,300,24,200000,4,80,2927.46,8112.2,15075,96.12,7043.71,865.41,72.5,36:27:55,415295976,00:44.7,20764720,3.84E+11,3840008,4000008,8.40239E+11,8.192E+11,21000000008,102896,diskann_run_deep1b_t2_node_T24_R90B20_M300_20260119_194723_1108,deep1b1B_R90_Lb100_B20_M300_float,9.31779E+11,5.58691E+11,build.log,search_L30_100_nvme.log
DiskANN,deep1b_t2_node_T24_R90B20_M300_nvme,20260119_194723_1108_nvme,node,20260128_023817,DEEP1B-1B,float,1000000000,90,100,20,300,24,200000,4,100,2431.08,9778.25,16637,115.27,8495.98,1040.18,75.88,36:27:55,415295976,00:44.7,20764720,3.84E+11,3840008,4000008,8.40239E+11,8.192E+11,21000000008,102896,diskann_run_deep1b_t2_node_T24_R90B20_M300_20260119_194723_1108,deep1b1B_R90_Lb100_B20_M300_float,9.31779E+11,5.58691E+11,build.log,search_L30_100_nvme.log
DiskANN,deep1b_t2_node_T24_R90B20_M300_nvme,20260119_194723_1108_nvme,node,20260128_023817,DEEP1B-1B,float,1000000000,90,100,20,300,24,200000,4,120,1889.36,12590.42,22920,134.71,10231.87,2056.89,78.56,36:27:55,415295976,00:33.1,20771568,3.84E+11,3840008,4000008,8.40239E+11,8.192E+11,21000000008,102896,diskann_run_deep1b_t2_node_T24_R90B20_M300_20260119_194723_1108,deep1b1B_R90_Lb100_B20_M300_float,9.31779E+11,5.58691E+11,build.log,search_L120_200_nvme.log
