Method,dataset,d,nb,nq,nlist,M,nbits,nprobe_requested,nprobe,topk,repeats,warmup_nq,train_time_s,add_time_s,build_time_s,search_time_median_s,qps,recall_at_k,ndis,ndis_per_query,scale,l2norm,rss_mb_before_search,rss_mb_after_search,peak_rss_mb_before_search,peak_rss_mb_after_search,peak_rss_mb_after_train,peak_rss_mb_after_add,index_bytes
IVFPQ,deep1b1B,96,1000000000,10000,49152,24,8,1,1,10,5,200,2073.187016,113189.3199,115262.5069,0.25196,39688.87089,0.29087,1362638650,27252.773,1,0,69979.309,70071.129,71356.297,71356.297,2017.656,71356.297,32019366068
IVFPQ,deep1b1B,96,1000000000,10000,49152,24,8,2,2,10,5,200,2073.187016,113189.3199,115262.5069,0.432156,23139.77474,0.38442,2716124485,54322.4897,1,0,70071.129,70075.75,71356.297,71356.297,2017.656,71356.297,32019366068
IVFPQ,deep1b1B,96,1000000000,10000,49152,24,8,4,4,10,5,200,2073.187016,113189.3199,115262.5069,0.788861,12676.50007,0.46167,5395483860,107909.6772,1,0,70075.75,70075.75,71356.297,71356.297,2017.656,71356.297,32019366068
IVFPQ,deep1b1B,96,1000000000,10000,49152,24,8,8,8,10,5,200,2073.187016,113189.3199,115262.5069,1.500208,6665.74279,0.51693,10700773475,214015.4695,1,0,70075.75,70075.75,71356.297,71356.297,2017.656,71356.297,32019366068
IVFPQ,deep1b1B,96,1000000000,10000,49152,24,8,16,16,10,5,200,2073.187016,113189.3199,115262.5069,2.879927,3472.31062,0.55355,21129801115,422596.0223,1,0,70075.75,70077.039,71356.297,71356.297,2017.656,71356.297,32019366068
IVFPQ,deep1b1B,96,1000000000,10000,49152,24,8,32,32,10,5,200,2073.187016,113189.3199,115262.5069,5.573161,1794.313892,0.57389,41474642775,829492.8555,1,0,70077.039,70078.586,71356.297,71356.297,2017.656,71356.297,32019366068
IVFPQ,deep1b1B,96,1000000000,10000,49152,24,8,64,64,10,5,200,2073.187016,113189.3199,115262.5069,10.897121,917.67354,0.58386,80954196930,1619083.939,1,0,70078.586,70145.469,71356.297,71356.297,2017.656,71356.297,32019366068
IVFPQ,deep1b1B,96,1000000000,10000,49152,24,8,128,128,10,5,200,2073.187016,113189.3199,115262.5069,20.990086,476.415393,0.58819,1.57256E+11,3145127.992,1,0,70145.719,70197.035,71356.297,71356.297,2017.656,71356.297,32019366068
IVFPQ,deep1b1B,96,1000000000,10000,49152,24,8,256,256,10,5,200,2073.187016,113189.3199,115262.5069,40.621212,246.176799,0.59,3.0396E+11,6079204.442,1,0,70197.035,70197.035,71356.297,71356.297,2017.656,71356.297,32019366068
IVFPQ,deep1b1B,96,1000000000,10000,49152,24,8,512,512,10,5,200,2073.187016,113189.3199,115262.5069,77.622236,128.829063,0.59049,5.83448E+11,11668967.49,1,0,70197.035,70289.035,71356.297,71356.297,2017.656,71356.297,32019366068
IVFPQ,deep1b1B,96,1000000000,10000,49152,24,8,1024,1024,10,5,200,2073.187016,113189.3199,115262.5069,148.098109,67.522807,0.59071,1.11213E+12,22242590,1,0,70289.035,70479.598,71356.297,71356.297,2017.656,71356.297,32019366068
