Method,case_id,Lsel,Rmax,centroid_heap_k,max_score,calib_heap_front_alpha,repeats,Q,D_logits,D_in,enum_ms_p50,refine_ms_p50,total_ms_p50,total_qps_p50,refined_vecs_p50,refined_vecs_mean,recall_p50,train_time_s,add_time_s,build_time_s
NeuRoute,4,16,7,10000,0.36,0.7,1,10000,22,96,2241.922173,18819.59491,21170.56646,472.353917,5999868712,5999868712,0.93115,1124.42,1271.36,2395.79
NeuRoute,4,16,7,10000,0.36,0.7,1,10000,22,96,2241.922173,18819.59491,21170.56646,472.353917,5999868712,5999868712,0.93115,1124.42,1271.36,2395.79
NeuRoute,4,16,7,10000,0.36,0.7,1,10000,22,96,2248.370491,18598.57429,20958.03873,477.143884,5999868712,5999868712,0.93115,1124.42,1271.36,2395.79
NeuRoute,4,16,7,10000,0.36,0.7,1,10000,22,96,2241.922173,18819.59491,21170.56646,472.353917,5999868712,5999868712,0.93115,,,
NeuRoute,4,16,7,10000,0.36,0.7,1,10000,22,96,2248.370491,18598.57429,20958.03873,477.143884,5999868712,5999868712,0.93115,,,
NeuRoute,23,16,7,10000,0.36,0.7,1,10000,22,96,1848.649273,18224.08884,20140.59369,496.509694,5859989760,5859989760,0.92786,,,
NeuRoute,23,16,7,10000,0.36,0.7,1,10000,22,96,1855.08623,18414.88919,20340.51085,491.629737,5859989760,5859989760,0.92786,,,
NeuRoute,10,16,6,10000,0.36,0.7,1,10000,22,96,1844.819244,18367.37555,20317.67666,492.182259,5820430729,5820430729,0.9239,1124.42,1271.36,2395.79
NeuRoute,10,16,6,10000,0.36,0.7,1,10000,22,96,1844.819244,18367.37555,20317.67666,492.182259,5820430729,5820430729,0.9239,1124.42,1271.36,2395.79
NeuRoute,10,16,6,10000,0.36,0.7,1,10000,22,96,1849.549623,18084.60803,20039.23569,499.021028,5820430729,5820430729,0.9239,1124.42,1271.36,2395.79
NeuRoute,10,16,6,10000,0.36,0.7,1,10000,22,96,1844.819244,18367.37555,20317.67666,492.182259,5820430729,5820430729,0.9239,,,
NeuRoute,10,16,6,10000,0.36,0.7,1,10000,22,96,1849.549623,18084.60803,20039.23569,499.021028,5820430729,5820430729,0.9239,,,
NeuRoute,71,16,7,8000,0.36,0.7,1,10000,22,96,2110.598706,15923.6049,18096.99538,552.577917,5063429718,5063429718,0.92371,,,
NeuRoute,70,16,7,8000,0.36,0.6,1,10000,22,96,1919.368178,15873.33389,17854.93428,560.06927,5069675969,5069675969,0.92289,,,
NeuRoute,5,16,7,10000,0.36,0.5,1,10000,22,96,1714.7254,18862.38457,20697.53191,483.149394,6028256170,6028256170,0.92287,1124.42,1271.36,2395.79
NeuRoute,5,16,7,10000,0.36,0.5,1,10000,22,96,1714.7254,18862.38457,20697.53191,483.149394,6028256170,6028256170,0.92287,1124.42,1271.36,2395.79
NeuRoute,5,16,7,10000,0.36,0.5,1,10000,22,96,1716.636408,18491.49482,20323.37062,492.044365,6028256170,6028256170,0.92287,1124.42,1271.36,2395.79
NeuRoute,5,16,7,10000,0.36,0.5,1,10000,22,96,1714.7254,18862.38457,20697.53191,483.149394,6028256170,6028256170,0.92287,,,
NeuRoute,5,16,7,10000,0.36,0.5,1,10000,22,96,1716.636408,18491.49482,20323.37062,492.044365,6028256170,6028256170,0.92287,,,
NeuRoute,143,17,6,8000,0.36,0.7,1,10000,22,96,2003.320102,15741.55247,17806.78394,561.583722,5018002855,5018002855,0.92233,,,
NeuRoute,68,16,7,8000,0.3,0.7,1,10000,22,96,1740.816042,15086.62035,16881.6813,592.358061,4844905419,4844905419,0.92182,,,
NeuRoute,142,17,6,8000,0.36,0.6,1,10000,22,96,1825.41198,15774.47687,17661.82206,566.192999,5024201781,5024201781,0.92139,,,
NeuRoute,67,16,7,8000,0.3,0.6,1,10000,22,96,1607.42145,15134.72119,16796.73611,595.35376,4849464482,4849464482,0.92098,,,
NeuRoute,11,16,6,10000,0.36,0.7,1,10000,22,96,1535.622486,17746.08337,19344.42073,516.944919,5685879097,5685879097,0.92077,,,
NeuRoute,11,16,6,10000,0.36,0.7,1,10000,22,96,1534.699474,17667.39072,19264.95825,519.07717,5685879097,5685879097,0.92077,,,
NeuRoute,140,17,6,8000,0.3,0.7,1,10000,22,96,1683.623466,15189.88546,16927.03869,590.770789,4831692948,4831692948,0.92067,,,
NeuRoute,139,17,6,8000,0.3,0.6,1,10000,22,96,1547.543419,15013.26219,16614.63665,601.878946,4836276225,4836276225,0.91975,,,
NeuRoute,62,16,7,7000,0.36,0.7,1,10000,22,96,2014.00405,14298.27862,16371.18746,610.82924,4565348251,4565348251,0.91836,,,
NeuRoute,21,16,7,10000,0.36,0.6,1,10000,22,96,1560.016522,17535.9715,19161.33549,521.884292,5616969133,5616969133,0.91791,,,
NeuRoute,21,16,7,10000,0.36,0.6,1,10000,22,96,1565.181936,17616.18962,19248.50539,519.520856,5616969133,5616969133,0.91791,,,
NeuRoute,61,16,7,7000,0.36,0.6,1,10000,22,96,1838.600917,14353.27308,16250.80893,615.353983,4570955562,4570955562,0.9173,,,
NeuRoute,35,16,6,8000,0.36,0.7,1,10000,22,96,1744.218811,15303.67173,17105.02939,584.623374,4897988610,4897988610,0.91727,,,
NeuRoute,134,17,6,7000,0.36,0.7,1,10000,22,96,1918.99119,14149.7669,16125.69885,620.128163,4518108740,4518108740,0.91698,,,
NeuRoute,59,16,7,7000,0.3,0.7,1,10000,22,96,1679.436171,13590.0145,15320.55948,652.717678,4354404968,4354404968,0.91678,,,
NeuRoute,34,16,6,8000,0.36,0.6,1,10000,22,96,1603.528649,15249.82947,16910.25273,591.357218,4903846273,4903846273,0.91653,,,
NeuRoute,133,17,6,7000,0.36,0.6,1,10000,22,96,1753.54831,14117.22704,15927.32867,627.851676,4523660649,4523660649,0.91593,,,
NeuRoute,11,16,6,10000,0.36,0.5,1,10000,22,96,1436.937494,18413.90913,19960.26205,500.995427,5846479574,5846479574,0.91586,1124.42,1271.36,2395.79
NeuRoute,11,16,6,10000,0.36,0.5,1,10000,22,96,1436.937494,18413.90913,19960.26205,500.995427,5846479574,5846479574,0.91586,1124.42,1271.36,2395.79
NeuRoute,11,16,6,10000,0.36,0.5,1,10000,22,96,1440.016399,17825.90636,19372.82265,516.187041,5846479574,5846479574,0.91586,1124.42,1271.36,2395.79
NeuRoute,11,16,6,10000,0.36,0.5,1,10000,22,96,1436.937494,18413.90913,19960.26205,500.995427,5846479574,5846479574,0.91586,,,
NeuRoute,11,16,6,10000,0.36,0.5,1,10000,22,96,1440.016399,17825.90636,19372.82265,516.187041,5846479574,5846479574,0.91586,,,
