dataset,method,d,nb,nq,nlist,nprobe_requested,nprobe,topk,k_factor,R_approx,repeats,warmup_nq,train_time_s,add_time_s,build_time_s,search_time_median_s,qps,recall10_gt10,hit10_gt100,scale,l2norm,rss_mb_after_train,peak_rss_mb_after_train,rss_mb_after_add,peak_rss_mb_after_add,base_ftype,query_ftype,base_dtype,query_dtype,index_bytes
deep1b1B,opq_ivfpq_refine,96,1000000000,10000,65536,8,8,10,50,500,3,200,500.277379,24449.78689,24950.06427,0.975342,10252.81351,0.74985,0.99924,1,0,368137.996,368870.223,399164.867,399897.238,bin,bin,float32,float32,24025825531
deep1b1B,opq_ivfpq_refine,96,1000000000,10000,65536,8,8,10,100,1000,3,200,500.277379,24449.78689,24950.06427,1.200579,8329.316593,0.75333,0.9994,1,0,368137.996,368870.223,399164.867,399897.238,bin,bin,float32,float32,24025825531
deep1b1B,opq_ivfpq_refine,96,1000000000,10000,65536,8,8,10,200,2000,3,200,500.277379,24449.78689,24950.06427,1.643954,6082.896003,0.75504,0.99948,1,0,368137.996,368870.223,399164.867,399897.238,bin,bin,float32,float32,24025825531
deep1b1B,opq_ivfpq_refine,96,1000000000,10000,65536,16,16,10,50,500,3,200,500.277379,24449.78689,24950.06427,1.903179,5254.366702,0.84743,0.99968,1,0,368137.996,368870.223,399164.867,399897.238,bin,bin,float32,float32,24025825531
deep1b1B,opq_ivfpq_refine,96,1000000000,10000,65536,16,16,10,100,1000,3,200,500.277379,24449.78689,24950.06427,1.840129,5434.400501,0.85222,0.99982,1,0,368137.996,368870.223,399164.867,399897.238,bin,bin,float32,float32,24025825531
deep1b1B,opq_ivfpq_refine,96,1000000000,10000,65536,16,16,10,200,2000,3,200,500.277379,24449.78689,24950.06427,2.277751,4390.294656,0.85434,0.9999,1,0,368137.996,368870.223,399164.867,399897.238,bin,bin,float32,float32,24025825531
deep1b1B,opq_ivfpq_refine,96,1000000000,10000,65536,32,32,10,50,500,3,200,500.277379,24449.78689,24950.06427,2.992598,3341.577791,0.91172,0.99975,1,0,368137.996,368870.223,399164.867,399897.238,bin,bin,float32,float32,24025825531
deep1b1B,opq_ivfpq_refine,96,1000000000,10000,65536,32,32,10,100,1000,3,200,500.277379,24449.78689,24950.06427,3.143484,3181.183322,0.9181,0.99989,1,0,368137.996,368870.223,399164.867,399897.238,bin,bin,float32,float32,24025825531
deep1b1B,opq_ivfpq_refine,96,1000000000,10000,65536,32,32,10,200,2000,3,200,500.277379,24449.78689,24950.06427,3.480681,2873.000656,0.92054,0.99997,1,0,368137.996,368870.223,399164.867,399897.238,bin,bin,float32,float32,24025825531
deep1b1B,opq_ivfpq_refine,96,1000000000,10000,65536,64,64,10,50,500,3,200,500.277379,24449.78689,24950.06427,5.54356,1803.894883,0.94927,0.99975,1,0,368137.996,368870.223,399164.867,399897.238,bin,bin,float32,float32,24025825531
deep1b1B,opq_ivfpq_refine,96,1000000000,10000,65536,64,64,10,100,1000,3,200,500.277379,24449.78689,24950.06427,5.74138,1741.74154,0.95697,0.99989,1,0,368137.996,368870.223,399164.867,399897.238,bin,bin,float32,float32,24025825531
deep1b1B,opq_ivfpq_refine,96,1000000000,10000,65536,64,64,10,200,2000,3,200,500.277379,24449.78689,24950.06427,6.12803,1631.845844,0.95988,0.99997,1,0,368137.996,368870.223,399164.867,399897.238,bin,bin,float32,float32,24025825531
deep1b1B,opq_ivfpq_refine,96,1000000000,10000,65536,128,128,10,50,500,3,200,500.277379,24449.78689,24950.06427,10.608108,942.675144,0.96866,0.99975,1,0,368137.996,368870.223,399164.867,399897.238,bin,bin,float32,float32,24025825531
