Method,dataset,d,nb,nq,nlist,nprobe_requested,nprobe,topk,repeats,warmup_nq,train_time_s,add_time_s,build_time_s,search_time_median_s,qps,recall_at_k,ndis,ndis_per_query,scale,l2norm,rss_mb_before_search,rss_mb_after_search,peak_rss_mb_before_search,peak_rss_mb_after_search,peak_rss_mb_after_train,peak_rss_mb_after_add,base_ftype,query_ftype,base_dtype,query_dtype,index_bytes
IVF-Flat,img1536,1536,9390652,10000,49152,1,1,10,5,200,33535.96401,15541.249,49077.21301,1.521375,6572.999592,0.55567,13686015,273.7203,1,0,142296.051,142326.211,142296.051,142347.742,67464.426,142294.715,npy,npy,float32,float32,58073674347
IVF-Flat,img1536,1536,9390652,10000,49152,2,2,10,5,200,33535.96401,15541.249,49077.21301,1.674152,5973.171949,0.69172,27136935,542.7387,1,0,142326.289,142326.293,142347.742,142348.297,67464.426,142294.715,npy,npy,float32,float32,58073674347
IVF-Flat,img1536,1536,9390652,10000,49152,4,4,10,5,200,33535.96401,15541.249,49077.21301,2.099929,4762.066633,0.79451,53253505,1065.0701,1,0,142326.293,142326.293,142348.297,142348.297,67464.426,142294.715,npy,npy,float32,float32,58073674347
IVF-Flat,img1536,1536,9390652,10000,49152,8,8,10,5,200,33535.96401,15541.249,49077.21301,2.781646,3594.994046,0.8685,103753905,2075.0781,1,0,142326.293,142326.293,142348.297,142348.332,67464.426,142294.715,npy,npy,float32,float32,58073674347
IVF-Flat,img1536,1536,9390652,10000,49152,16,16,10,5,200,33535.96401,15541.249,49077.21301,4.369925,2288.369032,0.91816,200420650,4008.413,1,0,142326.293,142326.293,142348.332,142348.332,67464.426,142294.715,npy,npy,float32,float32,58073674347
IVF-Flat,img1536,1536,9390652,10000,49152,32,32,10,5,200,33535.96401,15541.249,49077.21301,7.575063,1320.120953,0.95123,386822560,7736.4512,1,0,142326.293,142326.293,142348.332,142348.336,67464.426,142294.715,npy,npy,float32,float32,58073674347
IVF-Flat,img1536,1536,9390652,10000,49152,64,64,10,5,200,33535.96401,15541.249,49077.21301,13.397682,746.397749,0.9724,746070390,14921.4078,1,0,142326.293,142326.293,142348.336,142348.336,67464.426,142294.715,npy,npy,float32,float32,58073674347
IVF-Flat,img1536,1536,9390652,10000,49152,128,128,10,5,200,33535.96401,15541.249,49077.21301,23.038642,434.053354,0.98464,1436382355,28727.6471,1,0,142326.316,142326.324,142348.336,142348.363,67464.426,142294.715,npy,npy,float32,float32,58073674347
IVF-Flat,img1536,1536,9390652,10000,49152,256,256,10,5,200,33535.96401,15541.249,49077.21301,41.710263,239.74915,0.99214,2762306360,55246.1272,1,0,142326.324,142326.324,142348.363,142348.367,67464.426,142294.715,npy,npy,float32,float32,58073674347
IVF-Flat,img1536,1536,9390652,10000,49152,512,512,10,5,200,33535.96401,15541.249,49077.21301,73.886789,135.342192,0.996,5315158055,106303.1611,1,0,142326.324,142355.621,142348.367,142416.73,67464.426,142294.715,npy,npy,float32,float32,58073674347
IVF-Flat,img1536,1536,9390652,10000,49152,1024,1024,10,5,200,33535.96401,15541.249,49077.21301,140.468542,71.190317,0.99831,10276910545,205538.2109,1,0,142355.621,142505.523,142416.73,142676.098,67464.426,142294.715,npy,npy,float32,float32,58073674347
