Method,dataset,metric,d,nb,nq,nlist,M,nbits,nprobe_requested,nprobe,topk,repeats,warmup_nq,ensure_unit_norm,train_time_s,add_time_s,build_time_s,search_time_median_s,qps,recall_at_k,ndis,ndis_per_query,rss_mb_before_search,rss_mb_after_search,peak_rss_mb_before_search,peak_rss_mb_after_search,peak_rss_mb_after_train,peak_rss_mb_after_add,index_bytes
ivfpq,img1536,cosine,1536,9390652,10000,49152,96,8,1,1,10,5,200,0,25744.44523,13120.1792,38864.62443,0.904395,11057.11135,0.48838,13692965,273.8593,3190.734,3292.5,17958.41,17958.41,12485.656,17958.41,1280583956
ivfpq,img1536,cosine,1536,9390652,10000,49152,96,8,2,2,10,5,200,0,25744.44523,13120.1792,38864.62443,0.90539,11044.96957,0.56673,27130645,542.6129,3292.758,3297.379,17958.41,17958.41,12485.656,17958.41,1280583956
ivfpq,img1536,cosine,1536,9390652,10000,49152,96,8,4,4,10,5,200,0,25744.44523,13120.1792,38864.62443,1.136801,8796.618015,0.60957,53241985,1064.8397,3297.379,3297.637,17958.41,17958.41,12485.656,17958.41,1280583956
ivfpq,img1536,cosine,1536,9390652,10000,49152,96,8,8,8,10,5,200,0,25744.44523,13120.1792,38864.62443,1.37563,7269.397086,0.63139,103746225,2074.9245,3297.637,3297.895,17958.41,17958.41,12485.656,17958.41,1280583956
ivfpq,img1536,cosine,1536,9390652,10000,49152,96,8,16,16,10,5,200,0,25744.44523,13120.1792,38864.62443,1.948563,5131.988003,0.64171,200400740,4008.0148,3297.895,3298.66,17958.41,17958.41,12485.656,17958.41,1280583956
ivfpq,img1536,cosine,1536,9390652,10000,49152,96,8,32,32,10,5,200,0,25744.44523,13120.1792,38864.62443,3.577818,2794.999513,0.64755,386828150,7736.563,3298.66,2346.398,17958.41,17958.41,12485.656,17958.41,1280583956
ivfpq,img1536,cosine,1536,9390652,10000,49152,96,8,64,64,10,5,200,0,25744.44523,13120.1792,38864.62443,5.838649,1712.725111,0.65072,746114775,14922.2955,2346.398,2379.398,17958.41,17958.41,12485.656,17958.41,1280583956
ivfpq,img1536,cosine,1536,9390652,10000,49152,96,8,128,128,10,5,200,0,25744.44523,13120.1792,38864.62443,10.542123,948.575553,0.65188,1436344045,28726.8809,2379.645,2434.004,17958.41,17958.41,12485.656,17958.41,1280583956
ivfpq,img1536,cosine,1536,9390652,10000,49152,96,8,256,256,10,5,200,0,25744.44523,13120.1792,38864.62443,20.178907,495.566976,0.65243,2762230405,55244.6081,2434.004,2357.961,17958.41,17958.41,12485.656,17958.41,1280583956
ivfpq,img1536,cosine,1536,9390652,10000,49152,96,8,512,512,10,5,200,0,25744.44523,13120.1792,38864.62443,40.109445,249.317835,0.65253,5315075835,106301.5167,2357.961,2109.57,17958.41,17958.41,12485.656,17958.41,1280583956
ivfpq,img1536,cosine,1536,9390652,10000,49152,96,8,1024,1024,10,5,200,0,25744.44523,13120.1792,38864.62443,77.92541,128.327846,0.65258,10276857025,205537.1405,2109.57,2305.164,17958.41,17958.41,12485.656,17958.41,1280583956
